Restaurant Name,Price,Cuisine,Distance,Cleanliness and Hygiene,Locality/Neighborhood,Wait Times,Portion Sizes,Overall Rating
fraternal order of police baltimore city lodge #3,67,Thai,1,64,51,71,3,44
FRAZIER'S ON THE AVENUE,25,Thai,1,35,89,81,31,41
FRED & MARGIE'S INN,80,Japanese,94,16,58,82,45,62
FREDERICK STATION SALOON,63,Spanish,54,33,80,1,31,49
FRIENDLY  FRIED  CHICKEN,39,Korean,73,40,68,44,64,54
FRIEND'S RESTAURANT AND SPIRITS,52,Japanese,68,52,59,12,60,53
FULL MOON SALOON,39,Italian,9,59,48,59,32,40
FULTON RESTAURANT,32,Chinese,82,35,34,52,58,47
FULTON RESTAURANT    (2201 1/2 FULTON AVENUE),52,Indian,47,88,11,82,27,50
G & A RESTAURANT,93,Thai,73,39,86,67,16,66
GAFFNEY'S BACK FIN ( seasonal),74,Korean,83,22,43,57,10,51
GALLAGHERS BAR & GRILL    (938-940),78,Chinese,9,30,80,79,7,48
GALLERY,57,Spanish,47,71,65,92,63,63
GALLERY CAF,88,Japanese,11,20,17,27,73,37
GARDEN BEEF & BEER,27,Chinese,47,87,96,24,2,54
GARDEN RESTAURANT,69,American,52,67,86,60,67,67
GECKOS,92,French,99,16,15,35,40,51
GENJI SUSHI EXPRESS   (A.K.A. 600 S EXETER ST),37,Japanese,41,48,75,80,42,52
"GEN-JOSEPH HALLER POST #95, AMERICAN LEGION, INC.",56,American,81,61,97,63,79,73
GENTLEMEN OF CHARISMA,76,French,25,53,80,59,75,60
GEORGE'S CAFETERIA,27,Thai,97,67,43,28,3,49
GEORGIO'S,85,Thai,100,51,20,99,13,62
GERMANIO'S RESTAURANT,77,Thai,32,78,22,26,47,49
GIBSON'S,71,French,42,23,35,58,62,46
GILMOR PLEASURE CLUB,38,Mexican,33,42,47,18,24,36
GINGER'S,55,Mexican,87,84,23,70,31,59
"GLADIATORS ASSOCIATIONS, INC",98,Chinese,29,62,33,80,14,53
GLASS DOOR lounge,75,American,4,97,75,68,70,64
GOLDEN KEY RESTAURANT,39,Italian,30,93,26,24,43,44
GOLDEN NUGGET,80,Thai,65,43,72,75,14,60
GOLDEN NUGGET LOUNGE,88,Italian,15,10,16,98,2,35
"GOLDEN WEST CAF, INC.",75,Italian,88,99,98,7,43,77
GOOD TIMES BAR AND LOUNGE,87,French,54,76,58,73,26,64
GORDON'S,31,Japanese,71,70,63,69,70,60
GOSSIP BISTRO,94,French,77,45,45,48,78,64
GRAND CRU,63,Japanese,21,26,69,59,23,43
GRANDVIEW RESTAURANT,79,Indian,44,83,32,31,67,57
GRANITE,92,Korean,8,74,21,63,28,48
GRANT'S 2 SPOT,21,Japanese,56,33,14,22,17,28
GREAT TASTE CHINESE  RESTAURANT,35,Chinese,58,70,79,23,65,57
GREENE ST CAF,30,Spanish,4,36,80,41,53,39
GREENHOUSE CAF,90,Korean,87,99,83,61,7,78
GREENMOUNT LOUNGE,72,Korean,17,18,60,25,39,39
GRENADIER CLUB,63,Chinese,94,97,75,14,25,69
GRIFFITH'S,69,Korean,14,30,70,73,40,47
GRILL ART,21,Indian,68,30,21,36,25,34
GRILLE 601,90,French,89,78,60,35,49,71
GROWLERS PUB,51,Italian,64,85,75,13,23,58
GROWN FOLKS BAR,97,French,21,77,15,93,58,57
GRUMPIE'S,75,Indian,69,21,39,48,78,53
GRUNDY'S,81,Chinese,100,75,31,73,43,69
"GRUNWALD CLUB, INCORPORATED",62,Spanish,94,56,38,2,65,56
JAUNG KAK RESTURANT(aka 18 W.20TH ST),99,Mexican,19,37,18,46,8,40
JAVA JOE'S,53,Chinese,67,69,67,20,36,56
"JAY & KAY SUBWAY, INC.",40,Japanese,25,20,85,85,37,46
JAY'S ON READ,42,Indian,23,10,59,4,4,27
JAY'S WOLFE ST CAF,73,Korean,2,11,46,73,6,34
JAZZY BLUES CLUB,49,Korean,5,46,52,97,42,44
"JD's SMOKEHOUSE BAR & GRILL, INC.",77,Italian,31,71,33,14,45,48
JEMELLA 'S CUT RATE,98,Italian,70,44,95,61,7,68
JERRY'S BAR,27,Korean,19,87,22,56,52,41
JEWEL BOX LOUNGE,43,Mexican,46,86,54,54,8,51
JHJ SALOON,53,American,44,91,85,38,21,60
JIGGS TAVERN,32,Indian,67,51,26,75,53,48
JIM DANDY'S TAVERN,78,French,9,15,94,63,11,46
JIMMY'S RESTAURANT,49,American,48,71,75,73,66,62
JIM'S DINER,71,American,73,85,42,97,42,68
JOCKEY CLUB/PALACE KITCHEN,53,Italian,89,39,36,65,19,51
JOE SQUARED PIZZA AND BAR,73,Italian,73,71,31,79,56,63
JOE'S TAVERN,96,Italian,81,35,23,40,24,53
JOE'S TAVERN & PACKAGE GOODS,74,Spanish,81,10,72,58,78,61
JOHN'S LOUNGE,67,Chinese,75,31,42,14,1,44
JOY DELI,64,Italian,24,67,64,73,23,53
JP'S,81,Thai,24,77,30,53,1,47
JR.'S BAR & GRILL,40,American,81,40,11,18,34,39
JUNIORS,24,Spanish,81,88,39,92,71,62
K.F.C.,38,Thai,42,22,87,65,5,44
KABOBBI RESTAURANT,97,Thai,80,25,63,78,52,66
KALI'S COURT,100,Chinese,93,41,64,37,57,69
POSITIONS UNLIMITED,67,Spanish,88,88,90,79,13,75
POTBELLY SANDWICH WORK'S,47,American,46,45,71,46,41,50
PRIMO'S,50,Mexican,95,22,95,36,28,58
PULASKI FOOD SERVICE,82,Korean,81,76,65,14,15,63
PUR LOUNGE,86,Mexican,61,27,83,25,46,58
PURPLE GOOSE,80,Japanese,91,45,21,1,14,48
"q s r,inc  - Mcdonald's",74,Chinese,16,57,15,91,42,45
"qsr, inc.- McDonalds",47,Japanese,41,23,100,20,45,48
"QSR, INC. MCDONALD'S)",96,French,38,42,84,0,74,59
QUIGLEY 1/2 IRISH PUB,48,Spanish,6,59,82,20,25,43
QUINOS,38,American,32,92,50,63,53,54
QUIZINOS OF FALLS road,76,Japanese,97,95,78,46,3,74
QUIZNOS,93,Chinese,73,66,89,77,67,78
QUIZNO'S,80,Thai,74,16,92,32,80,63
QUIZNOS OF FELLS POINT,22,Korean,94,17,37,58,67,46
QUO VADIS DEMOCRATIC CLUB,88,Indian,16,16,18,3,52,33
RA SUSHI,45,Japanese,4,84,80,62,46,53
RADISSON CROSS KEYS HOTEL,31,Italian,66,77,34,45,1,46
RADISSON HOTEL AT CROSS KEYS,53,American,80,52,24,18,55,49
RAFTERS,56,Indian,26,95,71,100,60,65
RAINBOW HOMESTYLE BUFFET,86,Korean,78,84,86,99,0,76
RAINBOW'S  BAR,90,American,67,45,69,88,74,70
RALLO'S RESTAURANT,70,Indian,39,30,17,64,34,41
RAMS HEAD TAVERN,49,Chinese,64,21,25,63,60,44
RANDY'S BAR,34,Spanish,25,63,49,51,69,46
RAS-A-TER INTERNATIONAL,91,Spanish,97,59,94,42,80,80
RASCALS COMEDY CLUB,50,Chinese,45,83,23,96,45,54
RAVE  INN,22,Spanish,19,41,22,6,52,26
RAY LEWIS' FULL MOON B-B-Q,76,Thai,29,33,23,100,77,49
RAY'S TAVERN,25,Korean,38,86,45,63,71,52
RAYZER'S,74,Spanish,25,22,37,87,65,46
RED DOOR LOUNGE,70,Japanese,71,83,19,97,74,65
RED FISH,76,Japanese,64,64,71,94,43,68
RED FOX LIQUORS,60,American,48,90,100,61,62,71
RED HOUSE TAVERN INC.,70,Thai,77,65,62,68,71,68
RED LYON TAVERN,91,French,34,34,76,96,72,63
RED MAPLE,31,Thai,60,68,63,56,33,53
RED ROOSTER,85,Korean,5,34,25,4,11,31
RED SQUARE RESTAURANT,51,Thai,28,89,29,45,22,46
REGAN'S TAVERN,73,Thai,63,91,16,9,72,56
REGI'S BAR & RESTAURANT,53,Mexican,47,26,63,58,24,45
GUS RESTAURANT (3103-05),74,Spanish,53,10,51,21,50,44
GYPSIES,88,American,96,50,48,96,64,72
H.I.S. PLACE,90,Korean,11,29,64,84,18,48
HABENERO GRILL,68,Thai,86,39,20,44,32,50
"HAMILTON HOMING PIGEON CLUB, INC.",25,Chinese,45,99,57,90,13,55
HAMPDEN REPUBLICAN CLUB,80,Japanese,53,61,63,53,11,57
harbor way inn,45,Spanish,33,21,35,18,71,35
HARBORSIDE CHICKEN & SEAFOOD,95,Mexican,54,93,63,39,37,68
HARD ROCK CAF,47,Korean,73,95,44,11,49,57
HARD ROCK CAF-OUTDOOR PIER,98,Spanish,12,26,73,64,35,51
HARFORD HOUSE,84,Thai,20,40,91,69,17,55
"HARFORD ROAD GROUP, LLC",60,Mexican,34,80,13,58,47,47
HARFORD ROAD LIQUORS,90,French,24,33,63,61,13,49
HARRAR CAF,20,Italian,41,11,60,48,3,31
MIDWAY BAR,75,French,43,39,18,88,56,49
MIKE MCGOVERN'S,89,Indian,24,85,23,38,59,53
MIKE'S PLACE,97,Mexican,11,37,87,47,73,58
MILTON AT CHARLES ST,39,American,38,34,93,35,41,48
MINATO RESTAURANT,68,Japanese,82,59,78,1,17,59
MINATO/CAFE VIET RESTAURANT,82,Korean,39,41,19,30,28,42
MISS SHIRLEY'S CAF,77,French,63,46,56,64,44,59
MOM'S PLACE,98,Japanese,51,35,42,17,57,52
MONDO BONDO ITALIAN BISTRO,26,Italian,4,47,91,58,44,43
MONUMENT HOUSE,29,Korean,16,76,67,59,76,51
MORGAN STATE-FACULTY,88,Chinese,94,17,49,92,58,64
MORTON'S--THE  STEAKHOUSE,70,Japanese,20,36,88,22,5,45
MO'S CRAB & PASTA FACTORY,53,Italian,69,80,17,18,52,50
MOTHER'S  FEDERAL  HILL  GRILL,93,Spanish,84,98,42,19,47,70
"MOUNT VERNON CLUB OF BALTIMORE, INC.",60,Mexican,22,58,19,67,8,39
MOUNT VERNON STABLE & SALOON,46,Spanish,93,52,53,69,48,60
MOUSE TRAP,84,American,23,11,62,7,73,44
MR. C. PLACE,98,French,3,17,46,93,31,45
MR. JOE'S BAR AND CUT RATE LIQUORS,73,Italian,74,87,55,58,76,71
MT VERNON ENTERTAINMENT LLC,78,Japanese,10,32,70,9,3,39
MT. PLEASANT INN,74,Korean,31,92,32,20,10,48
MT. ROYAL TAVERN,96,Spanish,46,57,68,29,16,57
MT. VERNON  HOTEL AND WASHINGTON CAFE',46,Korean,21,90,38,55,33,47
MT. WASHINGTON TAVERN,97,Japanese,62,47,89,42,79,71
MUGGSY'S,45,American,73,13,54,97,58,52
MUGHAL GARDEN,83,American,37,71,100,13,1,59
MUIR'S TAVERN,85,Thai,57,29,13,9,44,42
MUM'S,85,Korean,80,81,82,23,6,68
MURPHY'S NEIGHBORHOOD BAR & GRILL,31,American,6,100,29,12,11,35
MUSTANG ALLEY'S,78,American,45,28,52,45,48,49
MUSTANG INN,43,Chinese,16,86,74,5,21,46
MVP ENTERTAINMENT LLC CLUB 347-KITCHEN AREA,36,Chinese,51,99,68,36,56,60
"MY COUSIN'S PLACE, LLC (3925-27)",24,Chinese,51,61,51,25,63,46
MY PANINI,91,Mexican,44,60,31,15,41,50
MY THAI RESTAURANT,54,Thai,95,25,41,12,78,52
NAK WON RESTAURANT,71,Korean,99,44,35,100,61,65
NAM KANG KOREAN RESTAURANT   (AKA 101 W. 22ND ST.),49,Korean,98,51,39,42,53,56
NASU BLANCA,97,Korean,90,57,57,22,7,63
NCDEVINS,94,American,61,49,14,51,22,50
NELSON BAKED GOODS & COFFEE SHOP,68,Korean,79,93,86,26,76,75
NEOPOL,80,Japanese,66,71,96,22,73,72
network deli,73,Spanish,73,22,58,37,30,51
NEVER ON SUNDAY,60,Korean,93,48,12,14,44,48
NEVIN'S  CROSS  STREET STATION,33,Korean,100,75,20,46,48,55
NEW CLUB THUNDERBIRD INC.,21,Chinese,33,11,33,30,32,25
NEW DUFFY' S RESTAURANT,47,Indian,7,12,49,30,23,28
NEW EVERGREEN CAF,83,Spanish,1,31,83,76,69,54
"NEW HONG  KONG RESTAURANT, INC.",95,French,2,79,33,92,20,53
NEW JOHNSON'S LOUNGE,51,Spanish,5,100,53,35,38,49
"NEW MAY FLOWER BUFFET, INC.",35,Spanish,20,11,71,31,80,38
"NEW MAYFIELD, INC.",49,Korean,97,29,77,63,34,60
NEW MOM & DAD LIQUORS,57,American,14,66,22,54,49,42
NEW NO  DO  JI  RESTAURANT,97,French,93,42,41,89,41,67
HARRIS' TAVERN,46,Spanish,25,84,45,21,2,42
"HARRY OLIVER MANAGEMENT CO., INC.",61,Korean,59,14,37,4,72,41
HARRY'S AMERICAN BAR,62,American,88,75,13,92,11,57
HARVEST TABLE,84,Japanese,0,17,64,16,15,36
HAVE A NICE DAY CAF  (AKA 2 MARKET PLACE),27,Mexican,15,77,30,93,77,46
HAVEN PLACE,34,Spanish,10,82,45,32,25,39
hawley's  (2616-20),42,Thai,31,46,31,35,37,37
HEATH STREET PUB,95,Korean,14,54,68,88,54,60
"HEIGHTS LIQUORS, INC.",34,Italian,16,91,37,2,3,36
HELEN'S GARDEN  CAFE',37,Indian,96,95,81,29,6,65
HELLAS COFFEE SHOP,33,Indian,24,74,75,64,76,55
HENNINGER'S TAVERN,99,Korean,35,33,72,24,52,55
"HIDING SPOT, INC.",53,Chinese,93,44,40,100,67,62
"HIGH GROUNDS COFFEE ROASTERS, LLC",51,American,59,65,20,13,37,44
HIGHLAND CLIPPER CLUB,25,American,42,76,77,93,14,54
HILLEN RESTAURANT,55,Mexican,18,43,95,96,44,56
HIPPOPOTAMUS (932-34),95,Korean,13,41,52,48,21,47
HOGAN'S ALLEY,68,Chinese,11,58,41,90,4,45
HOLIDAY HOUSE,52,Italian,72,66,42,19,50,53
HOLIDAY INN-INNER HARBOR,93,Chinese,59,97,76,86,39,77
HOLIDAY RESTAURANT,86,French,31,82,99,21,47,66
HOLLINS STREET PUB,34,Indian,27,75,97,19,35,52
HOLLINSWOOD INN,83,Spanish,10,73,94,17,4,54
HOLLYWOOD DINER,47,American,4,88,89,38,71,56
HOLY FRIJOLES,54,Chinese,67,24,91,27,13,51
HOMETOWN DELI,88,Japanese,4,28,53,83,73,50
HOMETOWN GIRL & COMPANY,70,Japanese,56,71,66,10,9,54
HONEY'S LOUNGE,80,Spanish,61,23,32,95,19,50
HOOTERS OF AMERICA,25,Japanese,34,92,30,74,3,43
HOPKINS DELI,77,Chinese,92,89,23,29,32,62
HOPKINS PLAZA DELI,89,Indian,83,97,36,34,16,66
HOPKINS SUBWAY,42,Mexican,52,89,41,17,61,52
HORSEFEATHER'S PUB,69,Thai,92,86,54,33,68,70
HOT TOMATOES-CAF FORTUNATO,49,Italian,50,98,55,87,26,61
HOULIHANS OF MARYLAND,37,Chinese,76,59,47,68,22,52
HOWL AT THE MOON  (AKA 22 MARKET PL),39,Spanish,32,52,10,83,13,36
HUCKAS,83,American,8,58,86,4,69,54
HULL STREET BLUES,77,Korean,40,73,55,93,35,61
HUNAN EMPIRE,74,Korean,49,41,41,50,33,49
HYATT REGENCY BALTIMORE      (PISCES & BAR),51,Indian,0,53,45,49,50,39
HYATT REGENCY BALTIMORE    (Perks -LOBBY BAR),75,Japanese,35,45,36,62,12,45
HYATT REGENCY BALTIMORE   (CAFETERIA),72,American,42,67,16,59,26,47
HYATT REGENCY BALTIMORE  (KITCHEN/BANQUET ROOM),49,Indian,100,62,53,67,77,67
HYATT REGENCY OF BALTIMORE  (Bistro-300 & Bar),94,French,61,12,16,8,69,44
I BAR,87,Chinese,78,82,86,83,60,80
"I.B.P.O.E. OF W., INCORPORATED",73,American,95,52,95,29,32,69
I'CON INN,22,Indian,92,93,18,85,76,61
IGGIES,31,Chinese,69,92,25,64,76,57
IGUANA CANTINA BAR,44,Chinese,70,74,55,5,36,52
IKAN SEAFOOD,51,Chinese,16,10,41,24,25,28
IKAROS RESTAURANT,96,Mexican,63,91,17,96,50,68
IKE'S PLACE,31,Mexican,70,99,85,50,79,69
"IL MONDO,INC",32,Chinese,82,30,14,6,72,39
ILLUSIONS MAGIC BAR & LOUNGE,54,Mexican,7,87,74,14,42,50
IMPRESSED CAF,76,French,31,76,22,77,59,54
INCOGNITO TAVERN,94,Thai,46,55,54,68,78,64
INDIA RASOI RESTAURANT,99,Japanese,92,73,83,77,60,83
INDIA TANDOOR,99,Italian,2,62,53,53,34,51
INDIGMA,23,Spanish,13,36,95,99,43,47
INSIDE RAIL BAR,37,Thai,27,69,97,0,42,50
INTERCONTINENTAL HARBOR COURT-BRIGHTON'S,74,Korean,76,82,65,54,24,67
INTERCONTINENTAL HARBOR-EXPRESSO,31,Indian,33,92,81,20,13,50
INTRINSICS RESTAURANT,26,French,21,31,33,93,72,38
IRISH PUB,30,Italian,92,33,100,59,18,58
ISIS ( 226-228),47,Indian,36,45,63,92,27,50
ISLAND II,23,Korean,45,75,84,60,75,58
ITALIANOS RESTAURANT CARRYOUT,92,Italian,65,86,66,16,27,66
ixia restaurant,49,Korean,40,84,87,19,61,60
J & J LOUNGE,20,American,54,16,20,29,57,30
J & J TAVERN,31,American,81,30,52,69,80,53
J & M CORNER BAR,56,Japanese,44,50,11,3,16,34
J & S BAR & LOUNGE,89,French,66,92,76,95,72,81
J RAY'S CAFE,42,American,39,11,17,59,12,28
"J. PATRICK, INC.",66,Italian,16,83,84,78,1,57
J. PAUL'S,59,Japanese,24,60,63,60,17,48
J. T.'S SALOON,84,French,3,27,20,61,69,39
JACK'S BISTRO,77,French,99,23,27,80,80,61
JACK'S LIQUOR & LOUNGE,71,American,63,24,47,39,61,51
JAMES JOYCE IRISH PUB AND RESTAURANT,21,Thai,68,32,79,27,12,43
KAMP  (2312-14),87,French,1,47,30,58,18,40
KASBAH CAF,61,Japanese,14,10,41,79,1,33
KAWASAKI CAF,68,Italian,72,46,45,68,24,55
KAY-CEE CLUB,44,American,98,68,64,12,30,59
K'C' CORNER TAVERN,80,American,76,62,26,82,65,63
KELLY'S,64,American,44,46,57,62,12,49
KELLY'S BAR & LOUNGE,31,American,51,24,73,42,76,47
KENTUCKY  FRIED  CHICKEN,37,American,7,44,49,18,26,31
KENTUCKY FRIED CHICKEN,87,Thai,64,69,49,84,58,68
KENTUCKY FRIED CHICKEN  Y070-074,87,American,23,84,30,56,47,55
KFC / LONG JOHN SILVERS,30,Mexican,95,80,44,86,73,65
KFC-Y320011,35,Italian,37,35,66,41,30,41
KICK BACK JACK'S,40,Japanese,53,19,54,37,32,40
KIKU SUSHI RESTAURANT,93,Japanese,68,12,30,13,54,47
"KIMMY'S RESTAURANT & CARRYOUT, INC.",90,Italian,60,39,85,52,11,61
KIM'S LIQUORS,48,Japanese,75,98,86,78,29,72
KIM'S RESTAURANT & CARRYOUT,66,Italian,27,17,47,39,73,42
KING BUFFET,94,Chinese,36,83,46,57,78,65
"KING'S GARDEN CAF, LLC",80,Mexican,36,81,60,8,63,58
KING'S PIZZA EXPRESS,64,Italian,23,77,43,59,6,47
KIRBIE'S GRILL & CAF,88,Indian,85,36,75,94,79,74
KIRBY'S KORNER,98,Italian,97,59,77,100,21,78
KISLING'S TAVERN,90,Indian,56,18,28,42,44,47
KISS CAF,70,American,77,59,99,28,41,67
KITTY'S LOUNGE,87,Chinese,35,16,96,37,5,51
K-MART MORAVIA  STORE #3229,24,Indian,94,67,83,1,14,55
KNOTTY PINE INN,98,French,67,20,63,31,15,54
KOBA CAF,59,Italian,38,85,80,0,74,59
"KOCO'S PUB, INC.",37,American,17,74,58,31,65,46
KOLPERS RESTAURANT AND BAR,77,Italian,8,37,17,21,14,31
KOOPER'S TAVERN,49,Chinese,66,25,56,9,37,43
KOSHER BITE,53,Italian,91,15,98,48,62,62
KOZY KORNER,43,Korean,99,58,14,73,70,57
KRISTO'S CARRYOUT,98,Mexican,84,60,46,74,62,71
K'S KORNER,52,Indian,75,27,26,58,67,48
KUANG NING CARRYOUT,83,Japanese,11,57,43,1,3,39
KUMARI RESTAURANT & BAR,34,Indian,41,93,48,81,40,55
Kwang Moo Liquor,26,Mexican,2,70,67,7,26,36
L. P. DOCKS,29,Korean,77,27,82,31,8,46
L.P. STEAMERS,76,American,61,89,59,42,2,61
LA  CAZUELA RESTAURANT,44,Korean,3,72,87,69,9,49
LA MARSA,69,Chinese,30,50,73,31,51,52
LA ROCA,38,Mexican,75,83,44,10,42,53
LA ROCA BRUJA,54,Chinese,36,68,49,11,28,45
LA RUMBA,50,Indian,56,91,99,52,48,69
LA SCALA RISTORANTE ITALIANO,97,Italian,82,98,99,31,68,85
"LA SIRENITA RESTAURANT, II",92,Spanish,95,45,82,9,59,69
LA TAVOLA RESTAURANT,22,Japanese,34,68,85,23,29,47
LADY D'S CAF,33,Chinese,100,47,20,52,64,51
LAGERS PUB,37,Indian,22,30,14,18,70,29
LAHOR KABAB HOUSE,43,Thai,50,57,79,43,30,53
LA'RAE,71,Japanese,51,15,69,92,68,57
LARRY FLYNT'S HUSTLER CLUB,73,American,9,30,46,57,51,42
LAS ESPERANZA,50,Japanese,80,46,39,88,79,59
"LAS PALMAS MEXICAN RESTAURANT, INC.",84,Mexican,52,27,46,90,2,51
LATASCA,72,Korean,60,82,54,10,9,55
LATIN PALACE  (509-13),45,French,70,15,40,36,17,39
LATIN QUARTERS,85,American,96,88,81,47,41,78
LAVA LOUNGE,36,Thai,37,85,37,67,53,51
LEADBETTERS II,98,Spanish,98,100,99,20,43,85
LEAR'S II,25,American,97,30,79,83,20,56
LEBANESE TAVERNA   (AKA 719 S. PRESIDENT STREET),35,Chinese,31,32,77,94,21,46
LED ENTERPRISES LTD.,45,Chinese,89,73,33,22,53,55
LEGAL SEA FOODS,72,Thai,67,73,11,77,34,55
LEGEND RESTAURANT,88,Indian,58,92,87,37,17,70
LEMONGRASS BALTIMORE,72,Japanese,27,13,72,79,34,48
LENNY'S DELI OF LOMBARD STREET,58,French,11,28,96,44,45,47
LEN'S SANDWICH SHOP,69,Italian,7,99,84,6,49,57
LEON'S BAR,35,Thai,58,77,56,85,44,58
LEVEL'S LOUNGE,54,American,40,37,80,54,5,48
LIGHT STREET CAF - 17th FLOOR,31,Chinese,44,12,80,80,19,43
LIGHT STREET TAVERN,90,Indian,12,23,65,32,18,43
LIKE FATHER AND SON,84,Korean,48,55,34,60,5,50
LIL'S PLACE,70,American,4,61,16,79,1,38
LIME,73,Spanish,67,58,92,96,9,68
LINDEN DELI,51,Thai,29,65,75,35,56,53
LINDEN LOUNGE & BAR,88,Spanish,95,100,46,76,65,79
"LITHUANIAN HALL ASSOCIATION, INC.",26,Chinese,94,55,50,26,72,54
LITTLE BEAVER SOCIAL CLUB,26,Spanish,4,14,28,82,72,29
LITTLE HAVANA,65,Chinese,90,21,73,38,30,56
LITTLE TAVERN SHOPS,34,Japanese,9,39,51,10,61,33
LITTLE TAVERN SHOPS(6412-14),36,Spanish,63,40,77,44,16,49
LOCO HOMBRE,26,French,36,49,84,18,38,44
LOCUST POINT TAVERN,81,Italian,7,14,55,93,56,46
LONG HING CARRYOUT,57,American,20,44,19,21,74,37
LONG JOHN SILVERS/A &W RESTAURANTS,35,Mexican,5,33,44,78,4,31
LONG JOHN'S PUB,87,Spanish,95,26,81,11,79,66
LONGWOOD CAFE',45,Thai,91,21,45,84,4,49
looney's pub,50,Thai,92,37,21,63,68,53
LOS MARIACHIS RESTAURANT,100,American,66,19,92,81,65,70
LOUISIANA,69,Chinese,89,61,27,19,76,58
LOUNGE 51,90,Thai,29,49,74,36,62,58
LOU'S BAR,58,Korean,15,80,15,70,14,42
LOWELL LIQUOR,48,American,27,46,29,65,46,41
LUCA'S CAF,79,Spanish,70,51,13,77,56,55
LULU'S OFF BROADWAY,60,Mexican,31,25,64,72,5,43
LUMBINI,25,Spanish,48,40,40,85,56,44
LUNA DELSEA,47,Mexican,99,24,53,85,49,58
LUST,27,Italian,36,82,41,76,17,46
LYRIC THEATRE,38,American,4,52,66,12,33,36
M & J'S SOUL FOOD,48,Mexican,23,80,72,32,2,48
M & M LIQUOR AND LOUNGE,89,Chinese,19,86,13,11,28,45
M & S GRILL/MCCORMICK & SCHMICK'S SEAFOOD REST.,88,Thai,96,16,41,75,5,56
MACEO'S,80,Japanese,28,29,19,51,73,43
MAGERK'S PUB,74,Thai,92,35,14,97,33,56
MAGGIE MOORE'S IRISH PUB & RESTAURANT,65,Indian,4,37,64,53,12,40
mahaffey's pub,57,Korean,15,67,36,76,18,44
"MAKUTI ENTERPRISES, LLC",94,Korean,94,23,71,64,57,68
MAMA'S ON THE HALF SHELL,24,Korean,61,90,50,35,34,51
MAMMA LUCIA PIZZA,72,Italian,50,29,76,75,11,54
MAMMA ROMA,21,Japanese,76,99,20,48,65,54
MAMMA'S CUCINA,90,Mexican,12,26,98,92,30,57
MARGARETS PLACE,75,Thai,4,97,88,53,4,58
MARIA D'S,96,Indian,87,13,60,13,8,53
MARTICK'S,39,Thai,86,67,74,23,17,57
MARYLAND CASUALTY  COMPANY (CAF),31,Mexican,12,79,38,95,12,42
MARYLAND CLUB,78,Spanish,64,62,29,67,57,59
MARYLAND SCIENCE CENTER BEAKER'S CAF,82,Korean,85,87,43,88,76,75
MARY'S TAVERN,91,Spanish,85,27,34,81,3,55
MASTELLONE'S,41,Spanish,5,94,28,56,31,42
MATSURI RESTAURANT,31,Chinese,100,24,99,87,29,62
matthew's pizza,57,Italian,50,50,69,19,21,49
MAX'S ON BROADWAY,68,Korean,4,80,23,76,45,47
MAYNARD'S CAFE & RESTAURANT,32,Mexican,51,100,53,11,7,49
MBEPB VF #109-PERRY'S CRESENT CAF,37,Chinese,55,52,81,90,14,55
MBEPB VF #137--- STATE CENTER CAF,99,Japanese,65,52,97,70,16,71
MBEPB VF #34,34,Mexican,43,25,34,4,55,33
MCCABE'S,88,Italian,58,71,54,53,32,62
MCCORMICK & SCHMICK SEAFOOD RESTAURANT,35,Korean,38,30,57,57,26,40
MCCRACKENS ON KEY,83,American,50,24,52,1,36,45
MCDONALD'S,94,Korean,97,41,100,46,54,76
mcdonald's,40,Thai,54,33,55,39,30,43
MCDONALD'S  RESTAURANT,21,French,90,21,42,61,3,41
MCDONALD'S #5437,58,Japanese,90,68,23,41,54,57
MCDONALD'S (4526-38),46,Chinese,77,25,33,13,7,38
MCDONALD'S 11851,59,Chinese,12,10,39,89,72,40
MCDONALD'S HAMBURGERS,86,American,77,15,11,84,45,50
MCDONALD'S RESTAURANT,74,Indian,43,23,21,29,24,37
MCHENRY STREET PUB,60,Chinese,88,44,50,43,31,55
MEADOW MILL ATHLETIC CLUB,85,Thai,19,59,54,68,74,57
MEHEK,65,Italian,33,16,15,100,80,43
MELI PATISSERIE & BISTRO,71,French,17,20,25,7,64,33
METROPOLITAN COFFEEHOUSE AND WINE BAR,64,Mexican,66,46,96,19,48,61
MEX RESTAURANT,41,Thai,87,75,62,58,18,60
MICHAEL'S STEAK & LOBSTER HOUSE,57,American,2,50,45,97,70,47
MICHELLE'S CAF,95,Indian,67,68,43,66,30,64
MICK 0' SHEA'S IRISH PUB,37,Thai,96,97,85,50,3,68
MIDTOWN YACHT CLUB,74,Korean,16,32,99,78,69,58
"NEW REX LIQUORS,INC.",89,Indian,40,63,79,66,49,65
NEW RITZ CABARET,20,Korean,68,38,43,9,54,40
NEW SEOUL RESTAURANT,45,Japanese,14,77,10,15,46,35
"NICHIBAN OF FEDERAL HILL, INC.",90,Indian,78,63,76,66,9,68
NICK'S,48,Chinese,62,92,90,25,1,61
NICK'S FISH HOUSE,21,American,31,98,93,66,53,60
NIGHT OF THE COOKERS. LLC,56,Korean,57,73,32,61,29,52
NIGHTSHIFT,43,Indian,4,59,36,60,26,37
NIWANA,88,Thai,16,26,54,30,22,42
NO IDEA,97,Indian,21,59,27,94,13,51
NO WAY JOSE CAF,64,Indian,35,10,92,2,74,47
NO. #1 CHINESE RESTAURANT,40,Chinese,8,92,85,11,76,53
NORMA  JEANS,70,Spanish,2,27,32,72,49,38
